"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,66627,"20779","MD","Baltimore","Anne Arundel","Tracys Landing",14921,399200,0.00554156171284635,0.00655572365103379,-0.00745897563401293,0.0181302329975819,-0.0068722245974755,"2006-04","2006-Q2",459200,-0.130662020905923,"2005-05"
2017-10-31,74873,"38559","TN",,"White","Doyle",14922,91600,0.00328587075575027,0.0280583613916947,0.136476426799007,0.0473026744213279,,"2017-10","2017-Q4",91600,0,"2017-10"
2017-10-31,79602,"49126","MI","Niles","Berrien","Sodus",14923,124100,0.0180475799835931,0.0481418918918919,0.0333055786844296,0.0314488675878108,0.00870216262806545,"2016-03","2016-Q1",125900,-0.0142970611596505,"2016-01"
2017-10-31,80830,"52073","IA","Dubuque","Dubuque","Sherrill",14924,166900,0.0090689238210399,0.0170627666057282,0.0207951070336391,0.0239129531399564,,"2017-01","2017-Q1",170100,-0.0188124632569077,"2016-12"
2017-10-31,63077,"13348","NY","Oneonta","Otsego","Hartwick",14925,129600,-0.00384319754035357,0.0125,0.034317637669593,0.0133251931008909,-0.0011500988139802,"2009-02","2009-Q1",142700,-0.0918009810791871,"2007-07"
2017-10-31,78715,"47649","IN",,"Gibson","Francisco",14926,84100,-0.0129107981220657,-0.0366552119129439,-0.0399543378995434,0.0113134272585296,0.0166480842078911,"2004-11","2004-Q4",92300,-0.0888407367280607,"2004-08"
2017-10-31,92913,"79343","TX","Lubbock","Crosby","Lorenzo",14927,75100,-0.00265604249667995,0.00940860215053763,0.0995607613469985,0.0293079238129916,0.0169196075181,"2017-09","2017-Q3",75300,-0.00265604249667995,"2017-08"
2017-10-31,62617,"12502","NY","Hudson","Columbia","Ancram",14928,244600,0.0208681135225376,0.0552200172562554,0.0929401251117069,0.0383969464023874,-0.0074905916408089,"2007-10","2007-Q4",263700,-0.0724307925673113,"2007-01"
2017-10-31,63370,"14030","NY","Buffalo","Erie","Sardinia",14929,138400,0.00144717800289436,0.0161527165932452,0.0367041198501873,0.0204124671770576,,"2017-04","2017-Q2",143600,-0.0362116991643454,"2017-02"
2017-10-31,77575,"45312","OH","Dayton","Miami","Casstown",14930,177600,-0.00112485939257593,0.00966458214894827,0.0737605804111245,0.0329830678340659,0.0109972861525276,"2017-09","2017-Q3",177800,-0.00112485939257593,"2017-09"
2017-10-31,88756,"70725","LA","Baton Rouge","Ascension","Darrow",14931,187700,0.00805585392051558,0.0173441734417344,0.0689066059225513,0.0392945820134432,0.0205177215046015,"2017-02","2017-Q1",193500,-0.0299741602067183,"2017-01"
2017-10-31,89974,"73151","OK","Oklahoma City","Oklahoma","Oklahoma City",14932,410900,-0.00121536217792902,0.00958230958230958,-0.0251482799525504,0.0227434192398346,0.011804856974267,"2016-12","2016-Q4",443300,-0.0730882021204602,"2016-06"
2017-10-31,82481,"55910","MN","Winona","Winona","Altura",14933,153000,-0.00260756192959583,0.00790513833992095,0.0268456375838926,0.0285686660050308,-0.00219547707876988,"2008-08","2008-Q3",162400,-0.0578817733990148,"2007-08"
2017-10-31,60090,"06023","CT","Hartford","Hartford","Berlin",14934,260100,0.00463499420625724,0.0144305772230889,0.0313243457573354,0.0179177302221041,-0.0143016209160719,"2007-04","2007-Q2",306000,-0.15,"2004-09"
2017-10-31,62590,"12468","NY",,"Greene","Prattsville",14935,168700,-0.00354400472533963,0.000593119810201661,-0.00118413262285376,0.0177411153274472,-0.00629677213811985,"2017-01","2017-Q1",179800,-0.0617352614015573,"2016-10"
2017-10-31,80104,"50046","IA","Ames","Story","Cambridge",14936,181800,0.0122494432071269,0.00887902330743618,0.0111234705228031,0.0458409746835511,0.0255224491329162,"2016-11","2016-Q4",182800,-0.00547045951859956,"2016-11"
2017-10-31,84845,"61235","IL","Davenport","Henry","Atkinson",14937,115400,0.00173611111111111,-0.0136752136752137,-0.0195412064570943,0.0131553054311762,,"2015-12","2015-Q4",122800,-0.0602605863192182,"2015-06"
2017-10-31,92897,"79313","TX","Levelland","Hockley","Anton",14938,71800,0.0169971671388102,0.0558823529411765,0.141494435612083,0.00537817610607783,,"2013-08","2013-Q3",79400,-0.0957178841309824,"2013-03"
2017-10-31,58314,"01253","MA","Pittsfield","Berkshire","Otis",14939,289700,-0.00343997248022016,0.000345303867403315,-0.0112627986348123,0.00733868347860867,-0.0123098837058964,"2006-10","2006-Q4",334900,-0.13496566139146,"2005-04"
